#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"No, do not allow events to be created.";"No, no permitir a los usuarios crear Eventos."
"Yes, allow creation of events.";"Sí, permitir a los usuarios crear Eventos."
"Allow Editing of Events?";"¿Permitir la Edición de Eventos?"
"Do you want to let users edit and delete events?";"¿Desea permitir a los Usuarios editar y borrar Eventos?"
"No, do not allow events to be edited.";"No, no permitir a los usuarios editar los Eventos."
"Yes, allow  members to edit their own events.";"Sí, permitir a los usuarios borrar sus Eventos."
"Event Privacy";"Privacidad de Eventos"
"EVENT_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Sus usuarios pueden elegir de entre cualquiera de las opciones marcadas más abajo Quién deciden que pueden ver sus Eventos. Si no selecciona opción alguna, Todos podrán ver sus Eventos."
"Event Posting Options";"Opciones de publicación de Eventos"
"EVENT_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Sus usuarios pueden seleccionar de entre las siguientes opciones Quiénes pueden hacer comentarios a sus debates del Evento. Si no selecciona alguna de ellas, todos podrán hacer comentarios."
"EVENT_FORM_ADMIN_LEVEL_AUTHUPHOTO_DESCRIPTION";"Sus usuarios pueden seleccionar de entre las siguientes opciones Quiénes pueden subir fotos al Evento. Si no selecciona alguna de ellas, todos podrán subir fotos."
"Recently Created";"Creado recientemente"
"Delete Event?";"¿Borrar Evento?"
"Are you sure that you want to delete this event? It will not be recoverable after being deleted.";"Confirma querer borrar este Evento. Posteriormente no se podrá recuperar."
"EVENT_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Esta página muestra todos los Eventos creados por sus usuarios. Puede emplearla para monitorizar los Eventos y borrar, si se da el caso, material inapropiado. Introduzca un criterio de búsqueda en el campo de búsqueda para buscar eventos específicos. Si deja el campo en blanco se mostrarán todos los Eventos."
"There are no events posted by your members yet.";"No se han creado Eventos todavía."
"EVENT_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"Si desea permitir a sus usuarios la categorización de sus Eventos, cree las categorías más abajo. Esta función es útil si quiere listar los Eventos de todos los usuarios pues en caso de no tener categorías sus usuarios no tendrán la posibilidad de asignar su Evento a categoría alguna."
"Delete Event Category?";"¿Borrar categoría de Evento?"
"_EMAIL_EVENT_ACCEPTED_TITLE";"Evento Aprobado"
"_EMAIL_EVENT_ACCEPTED_DESCRIPTION";"Este email se envía al usuario cuando se le confirma su participación en el Evento.
<br />
<br />
Variables disponibles:
<br />
[displayname],[event],[link]"
"_EMAIL_EVENT_DISCUSSION_REPLY_TITLE";"Respuesta al debate sobre un Evento"
"_EMAIL_EVENT_DISCUSSION_REPLY_DESCRIPTION";"Este correo electrónico se envía al usuario cuando la gente contesta a temas de debate que creó.
<br />
Buenos Días [displayname]

[subject] ha contestado a uno de sus artículos en uno de los Debates que abrió. Si desea visualizarlo, vaya al enlace siguiente:
http://[host][object_link]

--------
[message]
--------

Un Cordial Saludo,
 
Administración Red Social
<br />
Variables disponibles:
<br />
[displayname],[subject],[message],[link]"
"_EMAIL_EVENT_DISCUSSION_RESPONSE_TITLE";"Respuesta al Debate sobre un Evento"
"_EMAIL_EVENT_DISCUSSION_RESPONSE_DESCRIPTION";"Este correo electrónico se envía al cuando la gente contesta sobre temas a los que también contestó.
<br />
Buenos Días [displayname]

[subject] ha contestado a uno de sus artículos en uno de los Debates en que participa. Si desea visualizarlo, vaya al enlace siguiente:
http://[host][object_link]

--------
[message]
--------

Un Cordial Saludo,
 
Administración Red Social
<br />
Variables disponibles:
<br />
[displayname],[subject],[message],[link]"
"_EMAIL_EVENT_INVITE_TITLE";"Red Social - Invitación a Evento"
"_EMAIL_EVENT_INVITE_DESCRIPTION";"Este correo electrónico se envía a alguien cuando es invitado a un Evento.
<br />
Buenos Días [displayname]

[subject] le ha invitado a participar en el Evento: [event]. Si desea visualizarlo, vaya al enlace siguiente:
http://[host][object_link]

Un Cordial Saludo,
 
Administración Red Social
<br />
Variables disponibles:
<br />
[displayname],[subject],[event]"
"{item:$subject} created a new event:";"{item:$subject} ha organizado o creado un Evento:"
"{item:$subject} joined the event {item:$object}";"{item:$subject} confirmó su asistencia al Evento {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the event {itemParent:$object:event}: {body:$body}";"{item:$subject} publicó {item:$object:topic} en el Evento {itemParent:$object:event}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the event {itemParent:$object:event}: {body:$body}";"{item:$subject} contestó a {item:$object:topic} en el Evento {itemParent:$object:event}: {body:$body}"
"ITEM_TYPE_EVENT";"Eventos"
"ITEM_TYPE_EVENT_ALBUM";"Álbum del Evento"
"ITEM_TYPE_EVENT_PHOTO";"Fotos del Evento"
"ITEM_TYPE_EVENT_TOPIC";"Temas de Debate del Evento"
"ITEM_TYPE_EVENT_POST";"Artículos de Debate del Evento"
"Arts";"Artes"
"Business";"Negocios"
"Conferences";"Conferencias"
"Festivals";"Festivales"
"Food";"Alimentación"
"Fundraisers";"Recaudación de fondos"
"Galleries";"Galerías de Arte"
"Health";"Salud"
"Just For Fun";"Diversión"
"Kids";"Niños"
"Learning";"Aprendizaje"
"Literary";"Literatura"
"Movies";"Películas"
"Museums";"Museos"
"Neighborhood";"Vecindad"
"Networking";"Networking"
"Nightlife";"Vida nocturna"
"On Campus";"Campus"
"Organizations";"Organizaciones"
"Outdoors";"Aire libre"
"Pets";"Mascotas"
"Politics";"Política"
"Sales";"Ventas"
"Spirituality";"Espiritualidad"
"Technology";"Tecnología"
"Theatre";"Teatro"
"Other";"Otros"
"Events Plugin";"Paquete de Eventos"
"Do you want to let members edit and delete events?";"¿Desea permitir a los usuarios editar y borrar eventos?"
"Allow Deletion of Events?";"¿Permitir el borrado de Eventos?"
"Do you want to let members delete events? If set to no, some other settings on this page may not apply.";"Desea permitir a los usuarios borrar Eventos? Si decide que NO, algunos otros ajustes no surtirán efecto."
"Yes, allow members to delete their own events.";"Sí, permitir a los usuarios borrar sus Eventos."
"No, do not allow members to delete their events.";"No, no permitir a los usuarios borrar sus Eventos."
"Allow Commenting on Events?";"¿Permitir comentarios en los eventos?"
"Do you want to let members of this level comment on events?";"¿Desea permitir a usuarios de este nivel comentar en los Eventos?"
"Yes, allow members to comment on events.";"Sí, permitir a los usuarios comentar en los Eventos."
"No, do not allow members to comment on events.";"No, no permitir a los usuarios comentar en los Eventos."
"Friends and Networks (user events only)";"Amigos y Redes (sólo usuarios del evento)"
"Friends of Friends (user events only)";"Amigos de amigos (sólo usuarios del evento)"
"Friends Only (user events only)";"Sólo Amigos (sólo usuarios del evento)"
"Group Members (group events only)";"Usuarios de Grupo (sólo en eventos de grupo)"
"Event Guests Only";"Invitados al Evento Sólo"
"All Guests";"Todos los Invitados"
"Event Profile Discussions";"Debates del perfil del Evento"
"Event Profile Info";"Información del perfil del Evento"
"Event Profile Members";"Usuarios del Evento"
"Event Profile Photo";"Foto del perfil del Evento"
"Event Profile Photos";"Fotos del perfil del Evento"
"Event Profile RSVP";"RSVP del perfil del Evento"
"Event Profile Status";"Estado del perfil del Evento"
"Profile Events";"Eventos del Perfil"
"There are no past events yet.";"Todavía no hay eventos pasados."
"You have not joined any events yet.";"No se ha unido a ningún evento aún."

#GENERAL

"_SITE_TITLE";"Red Social"
"Home";"Inicio"
"Layout";"Diseño"
"Stats";"Estadísticas"
"Ads";"Anuncios"
"Plugins";"Plugins"
"Manage";"Administrar"
"manage";"administrar"
"Menu Editor";"Editor de Menus"
"Language Manager";"Administrador de Idiomas"
"File & Media Manager";"Administrador de Archivos"
"Theme Editor";"Editor de Plantillas"
"Layout Editor";"Editor de Aspecto"
"Log Browser";"Registros de error"
"Server Information";"Información del Servidor"
"Referring URLs";"URLs de procedencia"
"Site-wide Statistics";"Estadísticas globales"
"Create New Campaign";"Crear campaña nueva"
"Manage Ad Campaigns";"Administrar Anuncios"
"Performance & Caching";"Cache y funcionamiento"
"System Emails";"Correos del sistema"
"Spam & Banning Tools";"Spam y controles"
"Activity Feed Settings";"Preferencias Titulares"
"Signup Process";"Proceso de registro"
"Locale Settings";"Preferencias Locales"
"Abuse Reports";"Informes de Abuso"
"Announcements";"Avisos"
"Networks";"Redes"
"Member Levels";"Niveles de usuario"
"Contact Us";"Contáctenos"
"Privacy Statement";"Política de Confidencialidad"
"Browse By";"Filtrar por"
" or ";" o "
"Success";"Correcto"
"member";"usuario";"usuarios"
"friendship";"amigos";"amigos"
"comment";"comentario";"comentarios"
"Please type the characters you see in the image.";"Por favor, introduzca los caracteres que ve en la imagen."
"%s update";"%s Actualización";"%s actualizaciones"
"%s Update";"%s Actualización";"%s Actualizaciones"
"updates";"actualizaciones"
"0 Updates";"0 Actualizaciones"
"First";"Primero"
"Last";"Último"
"&#171; Previous";"&#171; Previo"
"Next &#187;";"Siguiente &#187;"
"More +";"Mas +"
"Copyright";"Todos los Derechos Reservados"
"Created %s by ";"Creado %s por "
"Post Comment";"Publicar comentario"
"%d hour ago";"Hace %d hora";"Hace %d horas"
"There was an error processing your request.  Please try again later.";"Se produjo un error al procesar su solicitud.  Inténtelo más tarde."
"View all %s comment";"Ver todo el %s comentario";"Ver todos los %s comentarios"
"Like This";"Me gusta esto"
"Like";"Me gusta"
"Unlike";"No me gusta"
"Comment";"Comentar"
"Unlike This";"No me gusta esto"
"%s likes this";"A %s le gusta esto";"A %s les gusta esto"
"%s person likes this";"A %s usuario le gusta esto";"A %s usuarios les gusta esto"
"View previous comments";"Ver comentarios previos"
"View more comments";"Ver más comentarios"
"View later comments";"Ver últimos comentarios"
"View All Updates";"Ver todas las actualizaciones"
"Mark All Read";"Marcar todo como leído"
"You have no new updates.";"No tiene novedades."
"Submit Report";"Enviar denuncia"
"Do you want to report this?";"¿Quiere denunciar esto?"
"(select)";"(seleccionar)"
"Spam";"Spam"
"Abuse";"Abuso"
"Inappropriate Content";"Contenido inapropiado"
"Licensed Material";"Material con Copyright"
"Add Link";"Añadir enlace"
" Loading...";" Cargando..."
"Are you sure you want to delete this link?";"¿Está seguro de querer borrar este enlace?"
"Delete Link";"Borrar enlace"
"Please enter a search query.";"Introduzca cadena de búsqueda."
"No results were found.";"No se produjeron resultados."
"%s result found";"%s resultado encontrado";"%s resultados encontrados"
"Whoops!";"Vaya!"
"Page Not Found";"Página no encontrada"
"Go Back";"Ir atrás"
"The page you have attempted to access could not be found.";"No se pudo encontrar la página a la que intentó acceder."
"Private Page";"Página privada"
"You do not have permission to view this private page.";"No tiene permiso para ver esta pagina privada."
"That resource does not exist";"Ese recurso no existe"
"Please sign in to continue.";"Por favor, identifíquese para continuar."
"Like added";"Recomendación añadida "
"Like removed";"Recomendación quitada"
"Comment deleted";"Comentario borrado"
"The requested resource could not be found.";"No se puede encontrar lo que ha solicitado."
"You are not authorized to access this resource.";"No dispone de los permisos para acceder a este recurso. Póngase en contacto con el Administrador del sistema o con la Comisión Ejecutiva."
"Please sign in to continue..";"Para continuar debe identificarse."
"Whoops! Something went wrong!";"Lo siento, se ha producido un error inesperado, cargue de nuevo la página."
"Thank you for your feedback!";"Gracias por sus sugerencias de mejora."
"Link created";"Se ha creado el enlace"
"Link doesn't exists or not authorized to delete";"El enlace no existe o no está autorizado para borrarlo"
"Link has been deleted.";"Se ha borrado el enlace."
"Birthdays must include a month and a date.";"Los cumpleaños deben incluir una fecha y un mes."
"Please select a date from the calendar";"Por favor, seleccione una fecha del calendario"
"Please select a time from the dropdown";"Seleccione la hora de la lista desplegable"
"Please select AM or PM";"Seleccione AM o PM"
"AM/PM value selected without specifying a time";"AM/PM se ha creado sin especificar la hora"
"End time cannot be before start time";"La hora de finalización no puede ser anterior a la de comienzo"
"By %s";"Por %s"
"...";"..."
"An error has occurred processing the request.  The target may no longer exist.";"Se ha producido un error al procesar la solicitud, puede que haya no exista lo que está buscando."
",";","
"Sign In or %1$sJoin%2$s";"Identificarse o %1$sRegistrarse%2$s"
"and";"y"
"now";"ahora"
"in a few seconds";"en unos segundos"
"a few seconds ago";"hace unos segundos"
"in %s minute";"en %s minuto";"en %s minutos"
"%s minute ago";"hace %s minuto";"hace %s minutos"
"in %s hour";"en %s hora";"en %s horas"
"%s hour ago";"hace %s hora";"hace %s horas"
"_ACTIVITY_ACTIONTYPE_LOGIN";"Entrando"
"_ACTIVITY_ACTIONTYPE_LOGOUT";"Saliendo"
"_ACTIVITY_ACTIONTYPE_NETWORK_JOIN";"Uniéndose a una Red"
"_ACTIVITY_ACTIONTYPE_POST";"Publicando en el perfil de alguien"
"_ACTIVITY_ACTIONTYPE_POST_SELF";"Publicando una actualización en su propio perfil"
"_ACTIVITY_ACTIONTYPE_PROFILE_PHOTO_UPDATE";"Modificando su foto"
"_ACTIVITY_ACTIONTYPE_SIGNUP";"Abriendo una cuenta"
"_ACTIVITY_ACTIONTYPE_STATUS";"Actualizando mi estado"
"_ACTIVITY_ACTIONTYPE_FIELDS_CHANGE_GENERIC";"Actualizando mi perfil"
"_ACTIVITY_ACTIONTYPE_FRIENDS";"Cuando contacte con alguien"
"_ACTIVITY_ACTIONTYPE_FRIENDS_FOLLOW";"Cuando siga a alguien"
"_CORE_CONTACT_DESCRIPTION";"Si desea formular una pregunta directamente envíe su mensaje utilizando para ello el formulario a continuación."
"_CORE_HELP_CONTACT_MESSAGE";"Nombre: %1$s
Correo Electrónico: %2$s
Información del Usuario: (%3$s - %4$s)
IP: %5$s
Navegador: %6$s
Fecha y Hora: %7$s
Mensaje:
    %8$s"
"_CORE_PRIVACY_STATEMENT";"Todos los datos son estrictamente confidenciales..."
"_CORE_TERMS_OF_SERVICE";"La nueva Red Social  ..."
"You can no longer respond to this message because %1$s has blocked you.";"No puede ya responder a este mensaje pues %1$s le ha bloqueado."
"Member Level Settings";"Preferencia de Nivel de Usuario"
"Select Member Level";"Seleccionar Nivel de Usuario"
"Public";"Público"
"Default Level";"Nivel por defecto"
"Admins";"Administradores"
"Options";"Opciones"
"Views";"Visitas"
"Owner";"propietario"
"delete";"borrar"
"_CORE_ADMIN_STATS_CORE_VIEWS";"Páginas vistas"
"_CORE_ADMIN_STATS_USER_CREATIONS";"Nuevas cuentas"
"_CORE_ADMIN_STATS_USER_LOGINS";"Sesiones"
"_CORE_ADMIN_STATS_MESSAGES_CREATIONS";"Mensajes Privados"
"_CORE_ADMIN_STATS_USER_FRIENDSHIPS";"Nuevos amigos establecidos"
"_CORE_ADMIN_STATS_CORE_COMMENTS";"Comentarios"
"_CORE_ADMIN_STATS_CORE_REPORTS";"Informes de Abuso"
"_CORE_ADMIN_STATS_CORE_UNIQUES";"Visitantes únicos"
"_CORE_ADMIN_STATS_ACTIVITY_POSTS";"Feed items"
"_CORE_ADMIN_STATS_AD_IMPRESSIONS";"Impresiones de Anuncios"
"_CORE_ADMIN_STATS_AD_CLICKS";"Clicks en Anuncios"
"_CORE_ADMIN_STATS_ANNOUNCEMENT_CREATIONS";"Avisos"
"_CORE_ADMIN_STATS_CORE_EMAILS";"Correos enviados"
"Antarctica";"Antarctica"
"Australia";"Australia"
"Africa";"África"
"Asia";"Asia"
"Europe";"Europa"
"South America";"América del Sur"
"North America";"América del Norte"


# ADS

"CORE_VIEWS_SCRIPTS_ADMINADS_INDEX_DESCRIPTION";"Mostrar Anuncios es una manera excelente de rentabilizar su Red Social. Al crear campañas publicitarias, puede decidir dónde exactamente se van a mostrar sus anuncios, cuánto tiempo se mostrarán y a Quiénes se mostrarán. La clave para generar ingresos de su Red Social es crear campañas dirigidas a grupos concretos. Esto es, debería hacer un esfuerzo por mostrar anuncios específicos a usuarios en función de sus intereses o características personales (por ejemplo: la información que consta en su perfil). Para conseguir esto, las campañas se pueden dirigir a niveles de usuarios concretos y/o a Redes específicas."
"You currently have no advertising campaigns.";"No tienen campañas publicitarias por el momento."
"Create Advertising Campaign";"Crear campaña publicitaria"
"Follow this guide to design and launch a new advertising campaign.";"Siga esta guía para diseñar y lanzar una nueva campaña publicitaria."
"Campaign Name";"Nombre de campaña"
"Start Date";"Fecha de comienzo"
"End Date";"Fecha de finalización"
